"PackageFile","Sort","Aggregate","FuzzyLookup","FastLoadInactive","NoTABLOCK","LookupPartialNoCache","SELECT*","OLEDBCommand","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO.NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Karyawan%20-%20manual.dtsx","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","53","0","0","10","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Karyawan.dtsx","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","50","0","0","10","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Lembur_VW.dtsx","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","10","0","50","0","0","10","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Premi_Lembur_Non_Panen.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","50","0","0","10","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Premi_Lembur_Panen.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","50","0","0","10","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Trans_Status.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","45","0","0","9","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","1","0","8","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_MAPPING.dtsx","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","8","0","19","0","0","8","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS%202018_DEV.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","235","0","0","0","0","14","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS%2020180305.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","0","0","0","0","14","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","0","0","0","14","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS_2017.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","16","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS_DEV.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","16","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_LHPP_XLS_FULL_MONTH.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","0","0","0","14","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_MTR_MAP_IO_WBS.dtsx","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","8","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_PROXA.dtsx","0","0","0","0","0","0","1","0","0","0","0","0","208","0","0","0","4","0","5","3","0","4","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_PROXA_bgtcos_cal1.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","1","0","0","0"
