package_id,name,package_guid,description,package_format_version,version_major,version_minor,version_build,version_comments,version_guid,project_id,entry_point,validation_status,last_validation_time
95293,STG_BPS_Trans_Absensi.dtsx,109D7D5F-EA65-4110-9E39-C3EB03E02782,,8,1,0,141,,0AD59D34-4521-485C-A2D4-020AD6421C21,1,1,N,NULL
95304,STG_BPS_Trans_Absensi_104.dtsx,07B636C4-83EE-4076-AA56-1082B692903C,,8,1,0,7,,F1F6D4EF-BDF6-48CB-BF33-230ECCF80CFD,1,1,N,NULL
95295,STG_BPS_Trans_Absensi_15.dtsx,7E807A21-EBD8-4A34-89E7-B630C7695D6C,,8,1,0,7,,9062C799-285F-490E-BB43-14CAE8F73055,1,1,N,NULL
95296,STG_BPS_Trans_Absensi_170.dtsx,33C70E55-F503-46D0-BAE0-9DD49B400806,,8,1,0,9,,CB6D2AD8-4882-4817-AFF2-E9C5C93232A7,1,1,N,NULL
95297,STG_BPS_Trans_Absensi_171.dtsx,680E3992-49C4-451B-B706-1B61BA8D296F,,8,1,0,8,,57DED2AF-1ADB-4044-B8F8-D6DEEB683F64,1,1,N,NULL
95298,STG_BPS_Trans_Absensi_172.dtsx,043A43A2-26CB-439A-8C18-0D47F2B67584,,8,1,0,5,,C88CE8D7-667E-45E0-A515-01DF58BECCE9,1,1,N,NULL
95299,STG_BPS_Trans_Absensi_174.dtsx,AC9DAB7D-2480-41D7-BDBB-FEA4999C34A2,,8,1,0,5,,A36E0FE0-F2CE-4C0A-9AFB-16EEA3BBEA50,1,1,N,NULL
95300,STG_BPS_Trans_Absensi_176.dtsx,0AFA1DDB-B6CC-43D1-B07F-1227EFDD03CE,,8,1,0,4,,4444CCDD-AC22-4AA0-AB4E-9B6965A4801D,1,1,N,NULL
95301,STG_BPS_Trans_Absensi_33.dtsx,31319BE5-78A1-4C67-932D-54A3CCFAA591,,8,1,0,6,,B0346CF7-F87D-4130-BB0F-57CDB7E7B6F2,1,1,N,NULL
95302,STG_BPS_Trans_Absensi_35.dtsx,50002302-6CA1-45B1-8727-534DFCE94E8F,,8,1,0,9,,201CF1D0-9A95-416C-8128-BF46CAE71A3C,1,1,N,NULL
95303,STG_BPS_Trans_Absensi_72.dtsx,8C6F948A-2961-4BA9-B548-E24492CFCB38,,8,1,0,7,,B0D3658F-4132-42D6-B831-9D7F746C3920,1,1,N,NULL
95305,STG_BPS_Trans_Gaji.dtsx,4FA677E7-57BF-44F5-9A8E-DF114D6E9690,,8,1,0,37,,4E02FF5D-42BA-4B32-9550-89065CF632DC,1,1,N,NULL
95348,STG_BPS_Trans_Karyawan - manual.dtsx,1DB94224-05F1-4604-AC2B-4F1C048B7160,,8,1,0,103,,9443CAD4-A9B6-45C6-9CBD-E10B48C1B9ED,1,1,N,NULL
95349,STG_BPS_Trans_Karyawan.dtsx,DC2BE6B3-2B5F-411B-B99B-0090955F7329,,8,1,0,101,,1F14212B-0F88-4D14-A907-C60B00A30F31,1,1,N,NULL
95306,STG_BPS_Trans_Lembur_VW.dtsx,5578A3B9-8DD8-42A2-BFA4-F66185A1016C,,8,1,0,28,,6D04B22C-11C7-4DC4-95A4-006C381F14A7,1,1,N,NULL
95325,STG_BPS_Trans_Premi_Lembur_Non_Panen.dtsx,5D2D6EA6-4B91-4DF3-9F82-E9FD9E3AE6E6,,8,1,0,61,,A613C774-FBB3-43B9-A91B-5D9760A9317D,1,1,N,NULL
95324,STG_BPS_Trans_Premi_Lembur_Panen.dtsx,9A5EBA65-85A3-4FD1-8081-7B0CCCEFA1D7,,8,1,0,12,,4B63FAF4-3273-40FE-ACCA-EE8316915712,1,1,N,NULL
95276,STG_BPS_Trans_Status.dtsx,7D5190F9-CBFA-421B-A9EF-1C075B2CDFE8,,8,1,0,12,,8BD74021-B82A-4833-8185-C54D2749ADDB,1,1,N,NULL
95206,STG_LHPP.dtsx,CAC3D67F-F7F6-46E3-B355-CECC0E0B499F,SSIS Package Description,8,1,0,6,,A4505D14-4167-4F44-87A3-CA4AAB779A3C,1,1,N,NULL
95341,STG_LHPP_MAPPING.dtsx,D9A1608F-96AD-4B0D-99A4-431E1FBCB753,,8,1,0,51,,07FAC05C-B16E-4672-BEB0-F9CD7BA74398,1,1,N,NULL
95244,STG_LHPP_XLS 2018_DEV.dtsx,33CF7DE2-6EC4-401C-A57B-5BC16196295A,,8,1,0,231,,71CAB98A-4096-4594-9FE7-E0A2BB2192EE,1,1,N,NULL
95241,STG_LHPP_XLS 20180305.dtsx,0EA03443-497A-49DA-BCBA-9070EF13FF01,,8,1,0,205,,2586ACCF-6DBB-47ED-9379-DEEA93D80864,1,1,N,NULL
95245,STG_LHPP_XLS.dtsx,0EA03443-497A-49DA-BCBA-9070EF13FF01,,8,1,0,231,,72C3BBDA-0B68-4B02-A3E0-ACE4635A3740,1,1,N,NULL
95233,STG_LHPP_XLS_2017.dtsx,EE2D4923-8882-4124-89B8-0E6D0D36A8A5,,8,1,0,142,,EBB1FDDB-2BD8-48CF-B788-CE24971700FC,1,1,N,NULL
95232,STG_LHPP_XLS_DEV.dtsx,566C7DCD-37E4-4A4A-ABB1-0AB9909DFD49,,8,1,0,143,,20B898EF-255B-45FF-B783-D898D3F0A56B,1,1,N,NULL
95246,STG_LHPP_XLS_FULL_MONTH.dtsx,90D0EDD3-6BBB-44C5-8AE4-F5D519888E37,,8,1,0,233,,F0200F9D-EDCA-4FF0-92B8-57D7E9E05350,1,1,N,NULL
95327,STG_MTR_MAP_IO_WBS.dtsx,09A7D6B4-1B5A-4144-91D9-31D4A9F426FA,,8,1,0,15,,7E7BB2E8-2EF7-4045-8008-ED29219894CF,1,1,N,NULL
95182,STG_PROXA.dtsx,900F763D-85C5-4B9D-8E06-A6592BEDE97F,SSIS Package Description,8,1,0,36,,75A4E81E-FFCF-4658-AC48-17DF7B57E465,1,1,N,NULL
95239,STG_PROXA_bgtcos_cal1.dtsx,8D943E0C-52E8-4EBC-A85D-2249635E5743,SSIS Package Description,8,1,0,0,,D662D2ED-BAF5-4730-8962-AB9626DD282F,1,1,N,NULL
95240,STG_PROXA_bgtmil.dtsx,CFE16F22-156E-4262-AB25-77ED7833E1AD,SSIS Package Description,8,1,0,0,,7ACE5D00-F2EC-4371-94B1-B17D4D45AD31,1,1,N,NULL
